year,total_stock_change,co2_removals,sawnwood_domestic_inflow,woodpanels_domestic_inflow,paper_domestic_inflow,sawnwood_domestic_stock,woodpanel_domestic_stock,paper_domestic_stock,sawnwood_domestic_stock_change,woodpanels_domestic_stock_change,paper_domestic_stock_change,domestic_stock_change,domestic_co2_removals,sawnwood_export_inflow,woodpanels_export_inflow,paper_export_inflow,sawnwood_export_stock,woodpanel_export_stock,paper_export_stock,sawnwood_export_stock_change,woodpanels_export_stock_change,paper_export_stock_change,export_stock_change,export_co2_removals
1957,568394.0660833112,-2084111.5756388076,1000365.8576771884,46989.75665268413,123982.88828820546,24927427.5901174,1009241.9765473503,345247.6684317421,511748.6292005256,19273.581344641396,5174.077364120225,536196.2879092873,-1966053.0556673866,60061.48715988739,2821.242492616286,7559.1261880338725,1496630.818258083,60594.40508732216,21049.442611253362,30725.142692480702,1157.1765965145241,315.45888502869275,32197.77817402392,-118058.51997142103
1958,574004.0179784707,-2104681.3992543924,1015586.0050463667,47704.68611134872,125869.23598442182,25444211.566744305,1028693.6301943989,350500.46716592804,516783.97662690654,19451.65364704863,5252.798734185926,541488.4290081412,-1985457.5730298508,60975.29752113673,2864.1665150349563,7674.135125695175,1527658.2807993211,61762.273059619336,21369.701068047463,31027.462541238172,1167.8679722971792,320.2584567941012,32515.588970329452,-119223.82622454132
1959,579759.8392078127,-2125786.077095313,1031037.7205804937,48430.49292216995,127784.2836704525,25966161.44092149,1048329.2146914268,355833.18499721616,521949.87417718396,19635.584497027914,5332.717831288115,546918.1765055,-2005366.6471868332,61903.01112414404,2907.743608469472,7790.893876154009,1558995.9013562533,62941.18415209055,21694.832120956802,31337.620556932176,1178.911092471215,325.1310529093389,32841.66270231273,-120419.42990848
1961,604929.9354909749,-2218076.4301335746,1062650.0025982053,49915.40309563134,131702.23228880882,26509177.50661584,1068892.3769817178,362915.08815154596,543016.0656943507,20563.16229029093,7081.903154329804,570661.1311389715,-2092424.1475095623,63800.99740179469,2996.8969043686584,8029.767711191178,1591598.3259662285,64175.78657118224,22126.609443893278,32602.42460997519,1234.602419091687,431.7773229364757,34268.80435200335,-125652.2826240123
1962,568934.6661170869,-2086093.7757626518,1043773.1183791608,53485.50666200908,130293.38330692194,27022854.16723949,1092414.3041913132,366732.11585806066,513676.660623651,23521.92720959545,3817.0277065146947,541015.6155397611,-1983723.9236457907,58632.881620839304,3004.493337990922,7508.61669307807,1618444.1601846325,65384.12081344253,21991.49156055472,26845.834218404023,1208.3342422602946,-135.11788333855657,27919.05057732576,-102369.85211686112
1963,469277.2628469701,-1720683.297105557,910069.4907552261,55833.008813246124,132224.49311175584,27394069.56446683,1117608.2806163186,371063.1645357642,371215.39722733945,25193.976425005356,4331.04867770354,400740.42233004834,-1469381.5485435105,92263.50924477394,5660.391186753882,13683.506888244174,1678063.3651852235,69178.83030912693,27114.417581201116,59619.205000591,3794.709495684401,5122.926020646395,68536.8405169218,-251301.7485620466
1964,564888.038852283,-2071256.1424583711,994624.6524671518,64500.93588319269,145221.58703353404,27841729.04192455,1150662.1934034205,385109.6679177938,447659.4774577208,33053.91278710193,14046.503382029594,494759.8936268523,-1814119.609965125,95071.84753284827,6165.3641168073145,14968.41296646595,1739294.1864436204,73367.81004445945,31822.76181290246,61230.82125839684,4188.979735332512,4708.344231701343,70128.1452254307,-257136.53249324588
1965,529575.3822749291,-1941776.4016747398,950709.4327561127,71966.51669688939,157906.46444165704,28237126.966891147,1190175.2809978635,405762.17753461224,395397.92496659607,39513.087594443,20652.509616818454,455563.5221778575,-1670399.5813188108,99026.56724388739,7496.083303110614,16565.53555834296,1803240.1255513486,78754.68272747014,36501.81011923513,63945.93910772819,5386.87268301069,4679.048306332672,74011.86009707155,-271376.820355929
1966,704397.7937641211,-2582791.910468444,1055374.4013381125,90428.05712210276,262521.4292080113,28728406.75301898,1246815.8392682867,508776.98435058823,491279.7861278318,56640.55827042321,103014.80681597599,650935.151214231,-2386762.221118847,77030.59866188759,6600.242877897243,22346.570791988728,1844152.530815102,83110.71566914524,44696.01446369677,40912.405263753375,4356.032941675105,8194.204344461636,53462.642549890115,-196029.6893495971
1967,657550.6823404838,-2411019.1685817735,1019385.6724960256,93650.06200317966,265768.1358015968,29174418.136533435,1305085.3068635997,584363.2808810767,446011.38351445645,58269.46759531298,75586.29653048847,579867.1476402578,-2126179.541347612,97676.32750397446,8973.437996820343,27977.86419840323,1904705.3043926007,89688.23026951321,55249.26098605602,60552.77357749874,6577.514600367969,10553.246522359252,77683.53470022595,-284839.62723416183
